name,lat,lon,O+,A+,B+,AB+,O-,A-,B-,AB-,expiry_dates
G.B. Pant Hospital Blood bank,11.675442,92.747338,6,6,3,2,4,5,3,4,"['2025-11-04', '2025-11-11']"
I.N.H.S. Dhanvantri,11.649693,92.717418,6,4,5,6,4,4,1,1,"['2025-10-28', '2025-11-09']"
Pillar Health Centre Blood Bank,11.653229,92.730714,3,4,6,6,5,1,2,1,"['2025-10-29', '2025-11-12']"
"Indian Red Cross Society Blood Bank, District Branch",14.654936,77.609915,6,3,2,3,4,6,5,2,"['2025-10-30', '2025-11-11']"
Government General Hospital Blood Bank,14.671459,77.596684,2,3,2,1,2,3,6,5,"['2025-10-29', '2025-11-12']"
Indian Red Cross Society,14.681888,77.600591,4,1,6,2,5,6,2,3,"['2025-10-30', '2025-11-12']"
Rural Development Trust Hospital Blood Bank,14.652907,77.618826,3,3,3,5,4,3,3,5,"['2025-11-05', '2025-11-14']"
South Central Railway Hospital Blood Bank,15.172889,77.366103,3,6,3,3,6,1,3,4,"['2025-11-03', '2025-11-21']"
Indian Red Cross Society Blood Bank,13.832533,77.492214,1,2,1,4,1,2,6,2,"['2025-11-05', '2025-11-11']"
Indian Red Cross Society Blood bank RCH -II KADIRI,14.113089,78.157366,2,4,2,3,3,5,5,4,"['2025-11-07', '2025-11-18']"
S.S.S.I.H.M.S. Blood Bank,14.151889,77.77685,1,3,5,5,4,4,2,5,"['2025-11-02', '2025-11-12']"
District Head Quarters Hospital Blood Bank. ,13.217176,79.100329,3,6,4,1,3,4,3,6,"['2025-10-26', '2025-11-13']"
Indian Red Cross Society,13.217176,79.100329,2,2,2,3,1,2,4,1,"['2025-11-03', '2025-11-12']"
M/s IRCS Blood Bank.,13.21698,79.100764,6,4,5,2,6,1,1,3,"['2025-11-04', '2025-11-12']"
M/s PESIMSR Blood Bank.,12.791223,78.363897,6,2,5,5,2,2,4,3,"['2025-10-30', '2025-11-10']"
Blood Bank AH Madanapalli,13.217176,79.100329,4,5,3,2,4,3,4,2,"['2025-10-27', '2025-11-12']"
"Indian Red Cross Society, Madanapalli RCH 2",13.556927,78.50085,4,5,3,3,1,4,4,5,"['2025-11-02', '2025-11-23']"
"Aswini Hospital Blood Bank, TTD",13.677292,79.3487,4,5,1,2,5,6,3,2,"['2025-11-03', '2025-11-22']"
SVRRGGH - Model Blood Bank,13.644382,79.407003,5,5,3,5,4,6,2,6,"['2025-11-03', '2025-11-15']"
Sri Venkateswara Institute of Medical sciences Blood Bank,13.637934,79.403917,4,3,6,6,3,1,6,6,"['2025-11-07', '2025-11-15']"
Govt Maternity Hospital Blood Bank,13.639418,79.409372,3,1,4,1,4,3,3,6,"['2025-11-06', '2025-11-09']"
 TTD Central Hospital Blood Bank,13.642148,79.421067,5,6,6,2,2,2,4,3,"['2025-10-27', '2025-11-21']"
S.V.S. Charitable Trust Blood Bank and Transfusion Centre,0.0,0.0,2,2,1,3,6,4,6,6,"['2025-10-27', '2025-11-19']"
Government Hospital,16.587432,82.008431,1,2,4,6,3,2,2,2,"['2025-11-04', '2025-11-17']"
"M/S. Kims & Research Foundation, Hospital Blood Bank",16.592169,82.024025,5,1,1,3,1,3,2,2,"['2025-10-26', '2025-11-20']"
M/s. A.P.V.V.P Area Hospital Blood Bank  ,16.575367,81.998101,4,4,5,6,4,3,5,3,"['2025-10-28', '2025-11-15']"
"M/s. Government General Hospital, Blood Bank.",16.955537,82.22748,2,2,1,3,5,3,1,5,"['2025-10-28', '2025-11-21']"
M/s. Indian Red Cross Society Blood Bank,16.989065,82.247465,1,3,4,3,5,4,5,1,"['2025-10-29', '2025-11-21']"
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),0.0,0.0,1,1,6,6,3,4,2,2,"['2025-10-29', '2025-11-16']"
District Headquarters Hospital,17.019708,81.791631,5,5,5,1,2,4,4,4,"['2025-11-08', '2025-11-20']"
M/s. G. S. L. Medical College General Hospital Blood Bank,0.0,0.0,2,4,2,3,4,4,1,3,"['2025-11-08', '2025-11-09']"
"M/s. Swatantra Hospital,  Blood Bank",0.0,0.0,2,5,2,6,5,4,4,3,"['2025-10-28', '2025-11-21']"
M/S. Dhanwantari Voluntary Blood Bank.,17.00787,81.785213,6,1,4,2,4,5,5,3,"['2025-10-30', '2025-11-18']"
M/s. Government Area General Hospital Blood Bank.,17.354937,82.541241,2,6,5,2,5,4,6,1,"['2025-10-26', '2025-11-19']"
M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),0.0,0.0,6,5,5,6,5,4,3,5,"['2025-11-07', '2025-11-21']"
